Quan Huyen,So ho CN,So lon,Trung binh
Son Tay,22,402,18.59658041
Ba Vi,99,1734,17.44396378
Phuc Tho,21,538,25.92481928
Thach That,24,291,12.28059072
Quoc Oai,21,243,11.528463
Dan Phuong,16,461,29.16719443
Hoai Duc,12,265,22.44284505
Chuong My,36,730,20.33407572
Thanh Oai,14,252,17.87535411
Thuong Tin,8,201,24.01437126
Ung Hoa,18,367,20.20572057
Phu Xuyen,15,222,15.14275956
My Duc,18,519,28.3652269
Soc Son,61,526,8.598069688
Dong Anh,21,323,15.58281024
Gia Lam,12,272,21.87208367
Thanh Tri,3,54,18.34915254
Me Linh,17,262,15.38592375
Ha Dong,2,27,13.88541667
Nam Tu Liem,1,5,9.12962963
Bac Tu Liem,2,23,14.77358491
Long Bien,1,20,21.79569892
Hoang Mai,1,14,16.03333333
Tay Ho,1,6,13.19148936
Cau Giay,0,0,0
Ba Dinh,0,0,0
Thanh Xuan,0,0,0
Dong Da,0,0,0
Hoan Kiem,0,0,0
Hai Ba Trung,0,0,0
